id	target	section	min_chars	source_requirement	teaching_spine	required_trap
DU01	foundations/01-database-mental-model.md	DB는 어떤 문제를 해결하는 시스템인가	20000	repo:database/query.md;source:vendor-overview	파일 하나를 안전하게 여러 사람이 바꾸는 문제에서 출발해 DB가 저장, 질의, 동시성, 복구를 한 몸으로 묶는 이유를 설명한다.	파일 저장소와 DB를 같은 것으로 보고 동시성/복구 책임을 놓치는 함정
DU02	foundations/01-database-mental-model.md	논리 모델과 물리 실행 모델을 분리해 읽기	20000	repo:database/**/*.md;source:vendor-architecture	SQL 결과라는 논리 세계와 page/index/log라는 물리 세계가 어떻게 서로 대응하지만 같은 것은 아닌지 작은 SELECT trace로 설명한다.	논리 처리 순서를 실제 실행 순서로 착각하는 함정
DU03	foundations/02-relational-model-and-sql.md	관계 모델, tuple, relation, key, set/bag semantics	20000	repo:database/join.md;source:sql-standard-or-vendor	표 한 줄을 tuple로 보고 key와 관계가 중복, 식별, 결합을 어떻게 통제하는지 설명한다.	테이블을 엑셀 시트처럼만 보고 key와 무결성을 장식으로 취급하는 함정
DU04	foundations/02-relational-model-and-sql.md	SELECT 문이 논리적으로 처리되는 순서	20000	repo:database/query.md;source:postgresql-select	작은 SELECT를 FROM, WHERE, GROUP, HAVING, SELECT, ORDER 흐름으로 손으로 따라간다.	WHERE에서 SELECT alias를 당연히 쓸 수 있다고 생각하는 함정
DU05	foundations/03-sql-semantics-types-null-collation.md	NULL과 3-valued logic	20000	source:postgresql-comparison;source:mysql-comparison	NULL이 값이 아니라 모름/부재를 표현하면서 TRUE/FALSE/UNKNOWN을 만드는 과정을 truth table로 설명한다.	NOT IN과 NULL 조합으로 결과가 사라지는 함정
DU06	foundations/03-sql-semantics-types-null-collation.md	type, charset, collation, comparison	20000	repo:database/collation.md;repo:database/mysql/types/mysql_varchar.md;source:mysql-charset-collation	문자열이 byte, character set, collation을 거쳐 비교되는 과정을 실제 문자열 정렬 예시로 설명한다.	collation 차이 때문에 index, unique, 정렬 결과가 예상과 달라지는 함정
DU07	foundations/03-sql-semantics-types-null-collation.md	placeholder, escaping, prepared statement	20000	repo:database/placeholder.md;repo:database/prepared_statements.md;repo:database/quote_and_escape.md;source:jdbc-or-vendor	문자열 결합 SQL과 바인딩 SQL을 나란히 두고 파싱, 계획, 값 전달 경계를 설명한다.	escaping과 parameter binding을 같은 보안 장치로 착각하는 함정
DU08	storage-index-optimizer/04-storage-files-pages-rows.md	file, page, extent, row, tuple layout	20000	source:postgresql-storage;source:mysql-innodb-storage	row가 파일에 바로 붙는 것이 아니라 page와 record layout 안에 들어가는 과정을 ASCII page map으로 설명한다.	row 하나 수정이 파일 한 줄 수정이라고 생각하는 함정
DU09	storage-index-optimizer/04-storage-files-pages-rows.md	heap table, clustered table, row movement, vacuum/purge	20000	repo:database/mvcc.md;source:postgresql-vacuum;source:mysql-purge	PostgreSQL heap과 InnoDB clustered index를 대조하며 죽은 row/version이 언제 치워지는지 설명한다.	long transaction이 vacuum/purge를 막아 bloat/history list를 키우는 함정
DU10	storage-index-optimizer/05-buffer-pool-cache-io.md	buffer pool과 OS page cache	20000	source:mysql-buffer-pool;source:postgresql-buffer	같은 page가 DB buffer와 OS cache를 지나 CPU로 올라오는 흐름을 설명한다.	캐시 hit를 애플리케이션 캐시와 같은 의미로 오해하는 함정
DU11	storage-index-optimizer/05-buffer-pool-cache-io.md	random/sequential I/O, fsync, flush, checkpoint pressure	20000	source:postgresql-wal-config;source:mysql-flush-checkpoint	I/O pattern과 fsync가 commit latency, checkpoint spike, flush pressure로 연결되는 과정을 timeline으로 설명한다.	평소 빠른 쓰기만 보고 checkpoint 순간 지연을 놓치는 함정
DU12	storage-index-optimizer/06-wal-undo-redo-recovery.md	WAL/redo/undo를 값 변화 trace로 이해하기	20000	repo:database/mvcc.md;repo:database/replication.md;source:postgresql-wal;source:mysql-redo-undo	한 row update가 data page보다 log에 먼저 남는 이유를 crash trace로 설명한다.	WAL을 백업 파일이나 replication log와 같은 것으로 뭉개는 함정
DU13	storage-index-optimizer/06-wal-undo-redo-recovery.md	crash recovery, checkpoint, PITR	20000	source:postgresql-continuous-archiving;source:mysql-recovery	commit, checkpoint, crash, redo replay, PITR target time을 시간순으로 설명한다.	백업 성공과 복구 가능성을 같은 것으로 착각하는 함정
DU14	storage-index-optimizer/07-index-structures.md	B+tree 구조와 탐색/삽입/분할	20000	source:postgresql-indexes;source:mysql-innodb-index	B+tree page split을 손으로 따라가며 왜 범위 조회에 강한지 설명한다.	인덱스를 단순 hashmap처럼 생각해 range/order 비용을 놓치는 함정
DU15	storage-index-optimizer/07-index-structures.md	composite, covering, unique, partial/function index	20000	repo:database/mysql/order.md;source:postgresql-index-types;source:mysql-indexes	복합 인덱스의 앞쪽 열 규칙과 covering read를 실제 WHERE/ORDER BY로 설명한다.	복합 인덱스의 모든 열이 언제나 독립적으로 쓰인다고 믿는 함정
DU16	storage-index-optimizer/07-index-structures.md	LSM/hash/bitmap/search index와 RDBMS index 비교	20000	repo:database/elasticsearch/*;source:postgresql-index-types;source:elasticsearch-indexing	B+tree와 inverted index, LSM 계열의 쓰기/읽기 trade-off를 비교한다.	검색 엔진 index와 RDBMS index를 같은 자료구조로 취급하는 함정
DU17	storage-index-optimizer/08-query-execution-operators.md	scan, filter, projection, sort, aggregate	20000	repo:database/query.md;source:postgresql-explain	실행기가 row stream을 scan, filter, sort, aggregate로 흘려보내는 모습을 설명한다.	SELECT 문을 한 번에 결과표로 변환한다고 생각해 operator 비용을 놓치는 함정
DU18	storage-index-optimizer/08-query-execution-operators.md	nested loop/hash/merge join	20000	repo:database/join.md;repo:database/mysql/explains/when_join.md;source:postgresql-planner	세 join 알고리즘을 같은 입력 데이터로 손계산해 비교한다.	join 종류를 SQL 문법의 JOIN 종류와 혼동하는 함정
DU19	storage-index-optimizer/08-query-execution-operators.md	subquery, CTE, window, pagination	20000	repo:database/elasticsearch/paginate.md;source:postgresql-queries	중간 결과와 row numbering이 언제 materialize되거나 inline되는지 설명한다.	OFFSET pagination이 항상 싸다고 생각하는 함정
DU20	storage-index-optimizer/09-optimizer-statistics-explain.md	statistics, cardinality, selectivity, cost	20000	source:postgresql-statistics;source:mysql-optimizer-statistics	통계가 row count 추정으로 바뀌고 그 추정이 plan 선택으로 이어지는 흐름을 설명한다.	optimizer가 실제 row 수를 미리 안다고 믿는 함정
DU21	storage-index-optimizer/09-optimizer-statistics-explain.md	EXPLAIN/EXPLAIN ANALYZE 읽기	20000	repo:database/mysql/explains/when_join.md;source:postgresql-explain;source:mysql-explain	estimated rows와 actual rows를 나란히 읽으며 plan을 진단한다.	EXPLAIN 한 줄의 type/key만 보고 성능을 판정하는 함정
DU22	storage-index-optimizer/09-optimizer-statistics-explain.md	slow query diagnosis and plan regression	20000	source:postgresql-explain;source:mysql-slow-query	느린 쿼리를 index 추가 문제가 아니라 통계, parameter, plan cache, 데이터 분포 문제로 추적한다.	운영 데이터 분포 변화를 보지 않고 로컬 plan만 믿는 함정
DU23	schema-migration-ops/10-schema-design-constraints.md	normalization, denormalization, keys, constraints	20000	source:postgresql-constraints;source:mysql-constraints	중복된 주문/고객 데이터를 정규화하고 다시 일부 반정규화하는 이유를 설명한다.	정규화를 성능의 반대말로만 이해하는 함정
DU24	schema-migration-ops/10-schema-design-constraints.md	migration, schema diff, online DDL, Flyway	20000	repo:database/db_diff.md;repo:database/examples/db_diff/*;repo:database/migration/flyway/flyway.md;source:mysql-online-ddl	DDL이 데이터, lock, replication, rollback과 만나는 지점을 migration timeline으로 설명한다.	ALTER TABLE이 항상 즉시 끝난다고 생각하는 함정
DU25	transactions/11-transaction-lifecycle-acid.md	transaction boundary, autocommit, savepoint, ACID	20000	source:postgresql-transactions;source:mysql-commit	계좌 이체 SQL trace로 BEGIN, COMMIT, ROLLBACK, SAVEPOINT를 설명한다.	autocommit 단일문과 명시적 트랜잭션 경계를 혼동하는 함정
DU26	transactions/11-transaction-lifecycle-acid.md	consistency와 도메인 불변식	20000	source:postgresql-constraints;source:mysql-constraints	ACID의 C를 DB 자동 마법이 아니라 제약조건과 애플리케이션 불변식의 보존으로 설명한다.	Consistency를 모든 비즈니스 규칙을 DB가 알아서 맞춘다는 뜻으로 읽는 함정
DU27	transactions/12-mvcc-snapshot-visibility.md	MVCC 역사와 등장 배경	20000	repo:database/mvcc.md;source:postgresql-mvcc;source:mysql-innodb-mvcc	읽기와 쓰기를 서로 덜 막기 위해 버전이 왜 등장했는지 역사와 실패 압력에서 설명한다.	MVCC를 lock-free 동시성으로 오해하는 함정
DU28	transactions/12-mvcc-snapshot-visibility.md	PostgreSQL tuple visibility와 vacuum	20000	repo:database/mvcc.md;source:postgresql-mvcc;source:postgresql-vacuum	xmin/xmax와 snapshot이 tuple visibility를 결정하는 과정을 row version trace로 설명한다.	old snapshot이 dead tuple 정리를 막는 함정
DU29	transactions/12-mvcc-snapshot-visibility.md	InnoDB read view, undo, purge	20000	repo:database/mvcc.md;source:mysql-consistent-read;source:mysql-undo-logs	read view와 undo chain을 따라 과거 row를 읽는 과정을 설명한다.	PostgreSQL tuple version과 InnoDB undo version을 같은 저장 방식으로 보는 함정
DU30	transactions/13-isolation-anomalies.md	SQL 표준 isolation과 anomaly	20000	source:postgresql-isolation;source:mysql-isolation	dirty read, nonrepeatable read, phantom, serialization anomaly를 schedule로 설명한다.	isolation level 이름만 같으면 DBMS 동작도 같다고 믿는 함정
DU31	transactions/13-isolation-anomalies.md	PostgreSQL과 InnoDB 실제 차이	20000	source:postgresql-isolation;source:mysql-isolation	동일한 두 세션 실험이 PostgreSQL과 InnoDB에서 어떻게 다르게 보이는지 설명한다.	InnoDB Repeatable Read와 PostgreSQL Repeatable Read를 같은 것으로 보는 함정
DU32	transactions/14-locks-latches-deadlocks.md	lock vs latch, row/table/gap/next-key/predicate lock	20000	repo:database/lock.md;repo:database/postgresql/lock.md;source:postgresql-locking;source:mysql-innodb-locking	lock은 트랜잭션 의미, latch는 내부 구조 보호라는 차이를 설명한다.	gap lock/next-key lock을 row lock의 별명으로 착각하는 함정
DU33	transactions/14-locks-latches-deadlocks.md	deadlock, wait graph, timeout, retry	20000	source:postgresql-locking;source:mysql-deadlock	두 세션 wait graph를 그리고 DB가 deadlock을 감지/희생시키는 과정을 설명한다.	lock timeout과 deadlock을 같은 장애로 처리하는 함정
DU34	reliability-distribution/15-replication-backup-recovery.md	replication log, binlog/WAL shipping, lag	20000	repo:database/replication.md;repo:database/replication_lag.md;source:postgresql-replication;source:mysql-replication	primary commit과 replica apply 사이의 시간 차이를 timeline으로 설명한다.	replica read가 언제나 최신이라고 가정하는 함정
DU35	reliability-distribution/15-replication-backup-recovery.md	backup, restore, PITR, failover, consistency	20000	source:postgresql-backup;source:mysql-backup	백업 파일, WAL/binlog, 복구 목표 시점을 연결해 실제 복구 경로를 설명한다.	백업 파일만 있으면 원하는 시점으로 복구된다고 믿는 함정
DU36	reliability-distribution/16-partitioning-sharding-distribution.md	partitioning and pruning	20000	source:postgresql-partitioning;source:mysql-partitioning	partition key가 query pruning과 maintenance boundary로 작동하는 과정을 설명한다.	partitioning을 자동 성능 향상 버튼으로 생각하는 함정
DU37	reliability-distribution/16-partitioning-sharding-distribution.md	sharding, resharding, global transaction trade-off	20000	repo:database/newsql.md;source:vendor-distributed-sql	데이터가 여러 노드로 나뉘면 transaction, index, join, sequence가 어떻게 어려워지는지 설명한다.	sharding을 단순히 table을 여러 개로 나누는 작업으로 보는 함정
DU38	mysql/17-mysql-innodb-deep-dive.md	InnoDB architecture: clustered index, buffer pool, redo/undo	20000	repo:database/mysql/*;source:mysql-innodb-architecture	InnoDB가 clustered index 중심으로 row, buffer, redo, undo를 묶는 방식을 설명한다.	primary key 선택이 물리 저장 구조에 영향을 준다는 점을 놓치는 함정
DU39	mysql/17-mysql-innodb-deep-dive.md	InnoDB locking/isolation/online DDL	20000	repo:database/mysql/problems/mysql5_online_large_indexing.md;source:mysql-innodb-locking;source:mysql-online-ddl	InnoDB isolation과 lock, online DDL이 운영에서 만나는 지점을 설명한다.	online DDL이 lock-free라고 믿는 함정
DU40	postgresql/18-postgresql-deep-dive.md	PostgreSQL heap, tuple, xmin/xmax, vacuum	20000	repo:database/mvcc.md;repo:database/postgresql/*;source:postgresql-mvcc	PostgreSQL이 heap tuple과 vacuum으로 MVCC를 유지하는 방식을 설명한다.	vacuum을 단순 디스크 청소 작업으로만 보는 함정
DU41	postgresql/18-postgresql-deep-dive.md	PostgreSQL planner, locks, WAL, replication	20000	repo:database/postgresql/introspection.log;source:postgresql-planner;source:postgresql-wal	PostgreSQL 운영 진단에서 planner, lock, WAL, replication을 함께 읽는 법을 설명한다.	관측 view 하나만 보고 원인을 단정하는 함정
DU42	application-boundaries/19-application-boundaries.md	connection, session, transaction manager, pooling	20000	source:jdbc;source:spring-transactions	DB connection이 session 상태와 transaction owner가 되는 과정을 설명한다.	connection pool을 단순 소켓 캐시로 보는 함정
DU43	application-boundaries/19-application-boundaries.md	Spring/JPA/MyBatis transaction boundary	20000	repo:jvm/spring/spring_transactional.md;source:spring-transactions	@Transactional proxy, propagation, rollback rule, MyBatis/JPA 호출 경계를 설명한다.	self-invocation과 checked exception rollback 오해
DU44	application-boundaries/20-idempotency-duplicate-request.md	duplicate request and idempotency key	20000	repo:knowledge/cards/K-IDEMPOTENT-EXECUTION-WINNER-ELECTION-REPLAY.md;source:http-idempotency	따닥 요청을 DB winner election과 response replay로 흘려보낸다.	UI debounce만으로 중복 결제를 막을 수 있다고 믿는 함정
DU45	application-boundaries/21-money-calculation.md	decimal, rounding, allocation, minor unit	20000	repo:math/*;repo:domains/payment/*;source:java-bigdecimal	금액이 binary floating point가 아니라 decimal 정책, scale, rounding으로 다뤄져야 하는 이유를 설명한다.	BigDecimal(double)과 반올림 누적 오차 함정
DU46	application-boundaries/22-financial-transaction-scenarios.md	ledger, balance, payment state machine	20000	repo:domains/payment/*;repo:domains/firmbanking/*	원장과 잔액, 결제 상태가 서로 다른 책임을 갖는 이유를 설명한다.	balance 컬럼만 수정하면 금융 처리가 끝난다고 믿는 함정
DU47	application-boundaries/22-financial-transaction-scenarios.md	timeout, unknown state, settlement, reconciliation	20000	repo:domains/payment/*;repo:domains/firmbanking/*	외부 성공/내부 timeout/콜백/정산 파일이 불일치할 때 복구하는 흐름을 설명한다.	timeout을 실패로 단정해 이중 취소나 이중 지급을 만드는 함정
DU48	reliability-distribution/23-outbox-saga-2pc.md	2PC/XA/JTA vs saga/outbox	20000	repo:knowledge/cards/K-ASYNC-EVENTS-OUTBOX-INBOX-CLAIM-LEASE.md;source:spring-transactions	로컬 트랜잭션과 외부 메시지 발행을 outbox로 연결하는 이유를 설명한다.	DB commit과 메시지 publish 사이의 틈을 무시하는 함정
DU49	operations/24-operations-observability-troubleshooting.md	DB troubleshooting by symptom	20000	repo:database/replication_lag.md;source:postgresql-monitoring;source:mysql-monitoring	증상에서 lock, I/O, CPU, plan, replication lag로 좁혀 가는 진단 흐름을 설명한다.	slow query만 보고 index부터 추가하는 함정
DU50	operations/24-operations-observability-troubleshooting.md	metrics, logs, locks, slow query, capacity	20000	source:postgresql-monitoring;source:mysql-monitoring	metric과 log가 어느 내부 상태를 보여 주는지 연결한다.	CPU/IO/lock/wait 지표를 따로따로 읽어 잘못된 조치를 하는 함정
DU51	security-governance/25-security-access-control.md	roles, users, privileges, grants, ownership	20000	source:postgresql-roles;source:mysql-privileges	role, user, grant, ownership이 실행 권한을 결정하는 과정을 설명한다.	애플리케이션 계정에 DBA 권한을 주고 운영하는 함정
DU52	security-governance/25-security-access-control.md	row-level security, encryption, auditing, secret hygiene	20000	repo:database/elasticsearch/tools/esdump/auth.ini;source:postgresql-rls;source:mysql-security	행 단위 보안, 암호화, audit, secret redaction을 데이터 보호 흐름으로 설명한다.	보안을 SQL injection 방지만으로 축소하는 함정
DU53	search-nosql-newsql/26-search-engine-internals.md	Elasticsearch/OpenSearch mapping, indexing, query, scoring	20000	repo:database/elasticsearch/*;repo:database/opensearch/*;source:elastic-docs;source:opensearch-docs	mapping과 inverted index, scoring이 RDBMS와 어떻게 다른지 설명한다.	검색 엔진을 JOIN 가능한 RDBMS 대체재로 쓰는 함정
DU54	search-nosql-newsql/26-search-engine-internals.md	search pagination, reindexing, dump/restore, consistency boundary	20000	repo:database/elasticsearch/paginate.md;repo:database/elasticsearch/elasticdump.md;source:elastic-pagination	검색 pagination과 reindex/dump가 consistency와 운영 위험을 만드는 과정을 설명한다.	deep pagination과 snapshot consistency를 가볍게 보는 함정
DU55	search-nosql-newsql/27-document-nosql-modeling.md	Firestore/document modeling, consistency, security rules, cost	20000	repo:database/firebase/*;source:firestore-docs	document modeling과 security rules, cost, hot-spot을 설명한다.	RDBMS normalization 감각을 그대로 document DB에 옮기는 함정
DU56	search-nosql-newsql/28-newsql-distributed-sql.md	NewSQL/distributed SQL, consensus, global transaction trade-offs	20000	repo:database/newsql.md;source:distributed-sql-vendor	SQL과 분산 consensus가 만날 때 latency, availability, transaction scope가 어떻게 바뀌는지 설명한다.	NewSQL을 “분산인데 RDBMS와 완전히 같은 사용감”으로 기대하는 함정
